influence,times
0,47354
1,13762
2,32599
3,1666
4,1338
5,393
6,452
7,183
8,230
9,107
10,85
11,69
12,56
13,39
14,35
15,34
16,30
17,23
18,31
19,22
20,14
21,18
22,22
23,14
24,11
25,9
26,12
27,14
28,17
29,14
30,15
31,13
32,5
33,18
34,6
35,15
36,13
37,16
38,15
39,7
40,10
41,4
42,8
43,8
44,9
45,9
46,9
47,11
48,5
49,1
50,9
51,7
52,9
53,8
54,8
55,12
56,8
57,12
58,11
59,12
60,7
61,4
62,4
63,10
64,6
65,9
66,7
67,6
68,9
69,7
70,16
71,13
72,12
73,6
74,7
75,11
76,4
77,8
78,5
79,12
80,13
81,12
82,10
83,9
84,4
85,11
86,7
87,9
88,5
89,7
90,6
91,2
92,3
93,9
94,10
95,10
96,9
97,4
98,2
99,4
100,1
101,6
102,3
103,7
104,2
105,5
106,3
107,4
108,3
109,2
110,4
111,5
112,3
113,4
114,3
116,3
117,1
118,3
119,1
120,2
122,3
123,1
125,2
126,4
127,2
128,1
129,2
130,2
131,1
132,2
133,3
134,1
137,1
138,1
140,2
141,3
144,1
145,2
148,2
149,1
151,1
154,1
157,1
166,1
167,1
175,1
179,1
183,1
184,1
185,1
186,1
188,1
189,3
190,1
193,1
199,1
202,1
208,1
217,1
220,1
226,1
240,1
251,2
272,1
280,1
281,1
288,1
300,1
307,1
324,1
331,1
343,1
356,1
362,1
363,1
372,1
374,1
379,1
393,1
403,1
424,1
436,1
445,1
469,1
502,1
544,1
548,1
569,1
597,1
608,1
620,1
624,1
763,1
