influence,times
2,40972
3,702
4,1421
5,9352
6,16035
7,9885
8,6594
9,5454
10,3042
11,1356
12,752
13,618
14,346
15,319
16,185
17,176
18,144
19,103
20,88
21,68
22,129
23,66
24,59
25,46
26,58
27,74
28,30
29,32
30,37
31,24
32,11
33,17
34,12
35,15
36,18
37,46
38,10
39,14
40,12
41,26
42,8
43,17
44,13
45,11
46,17
47,19
48,9
49,8
50,6
51,10
52,5
53,2
54,1
55,3
56,2
57,2
58,2
59,5
60,1
61,1
62,2
63,1
64,3
65,3
66,14
67,2
68,2
69,2
70,1
71,3
72,4
73,1
74,2
75,2
76,3
78,3
79,3
80,2
81,1
83,3
85,3
86,3
87,1
88,3
89,1
90,1
91,1
95,1
96,1
97,2
98,2
99,1
100,1
101,2
104,2
106,1
107,1
111,2
112,1
114,1
115,3
117,1
119,1
122,1
124,4
125,1
126,1
129,1
131,6
132,2
136,3
137,2
139,1
142,1
143,1
144,1
145,1
147,1
154,1
155,1
158,4
162,1
164,1
166,1
173,2
178,1
180,1
182,1
184,1
186,1
188,1
189,1
190,1
191,1
193,1
195,1
196,2
198,1
201,1
204,1
208,1
210,1
213,2
219,2
220,1
223,1
224,1
226,4
229,1
231,3
232,1
243,1
245,2
249,1
251,1
253,1
256,1
257,1
261,2
264,1
267,1
268,1
269,1
270,1
271,1
273,1
274,1
276,1
277,1
285,1
287,2
290,2
292,1
296,1
297,1
299,2
301,2
302,2
303,1
304,2
307,1
309,1
311,1
312,2
314,1
318,1
319,1
320,1
326,1
328,1
329,1
330,1
333,2
338,1
340,2
343,1
346,2
350,1
351,3
355,1
356,1
359,1
361,1
363,1
364,1
365,2
367,1
370,1
374,2
376,1
379,1
382,2
383,1
384,1
385,4
386,2
387,3
388,3
392,3
393,2
394,4
396,2
397,1
398,2
399,1
403,1
404,1
405,3
406,2
408,2
410,1
411,2
412,2
413,2
416,3
420,2
421,2
422,6
424,1
427,3
428,2
430,3
432,1
433,3
437,1
438,1
439,2
442,1
443,4
444,1
445,1
447,3
448,3
450,1
451,4
453,2
454,1
455,2
456,2
457,2
458,3
459,3
460,1
461,1
462,1
463,3
464,3
465,1
466,3
467,2
468,3
469,1
470,1
471,3
473,4
474,3
475,1
476,1
478,1
479,5
482,1
483,1
485,2
486,1
489,1
490,3
492,1
493,2
494,2
495,1
496,1
497,2
498,2
499,5
500,3
501,1
502,3
503,3
504,2
505,2
507,1
508,4
509,2
510,1
511,1
512,1
513,2
514,2
515,1
516,1
517,1
518,1
519,1
521,2
522,1
523,1
524,3
525,1
527,2
528,1
529,3
530,2
532,3
533,1
534,1
535,1
536,2
537,2
538,2
539,4
540,1
541,1
543,2
545,2
547,3
549,1
550,1
551,1
552,4
553,2
555,1
556,1
557,1
559,1
560,1
561,3
562,2
563,2
565,3
566,1
569,3
570,1
571,2
573,3
574,1
576,1
577,3
579,2
580,2
583,1
584,2
585,1
586,2
588,2
589,2
590,2
592,2
593,3
594,1
595,2
596,4
597,1
598,2
599,1
600,2
602,2
605,1
606,1
607,1
608,1
609,1
611,1
612,1
613,1
617,2
618,1
619,1
620,1
621,1
622,2
623,1
624,1
625,4
626,1
628,2
630,2
632,2
633,1
634,2
635,1
636,1
638,3
640,1
641,1
643,2
644,4
645,1
646,2
647,2
649,1
650,2
651,1
652,2
653,3
654,2
656,2
662,1
664,1
665,2
666,2
667,1
669,1
670,4
671,1
673,1
675,1
676,1
678,1
680,3
681,4
682,1
683,1
686,3
688,3
689,1
690,1
691,1
692,1
694,2
695,2
696,1
697,2
699,2
701,3
703,2
704,2
706,1
707,3
708,1
709,1
713,4
714,1
717,2
718,2
719,2
722,3
723,2
725,4
726,1
727,1
728,4
731,1
733,2
736,3
737,2
739,1
741,1
743,2
745,5
746,4
748,1
749,2
750,1
751,2
752,1
754,3
756,1
758,1
759,2
760,3
761,1
762,2
763,2
764,2
765,1
768,4
770,1
773,1
774,2
777,2
779,1
781,1
782,2
783,1
784,1
786,3
787,1
788,1
789,2
790,3
791,2
792,4
794,1
795,2
797,1
799,2
800,1
801,1
803,1
804,2
805,3
808,1
809,1
810,2
811,1
814,2
815,1
816,1
817,2
818,1
819,1
820,2
821,2
823,1
825,1
827,2
828,2
829,1
830,2
832,1
833,1
835,1
836,1
837,1
841,1
843,2
844,1
846,1
847,2
850,2
852,1
853,1
859,2
863,3
867,2
869,1
871,3
873,1
874,1
875,1
876,1
878,1
881,1
883,1
887,1
888,1
889,1
891,1
892,3
898,1
900,1
901,1
902,1
903,1
910,2
912,1
916,1
917,1
919,1
924,1
941,1
948,1
958,1
970,1
988,1
989,1
1006,1
1022,1
1056,1
1067,1
1071,1
1087,1
1092,1
1114,1
1127,1
1148,1
1189,1
1209,1
1214,1
1220,1
1262,1
1288,1
1295,1
1312,1
1373,1
1454,1
1462,1
1502,1
1519,1
1523,1
1551,1
1570,1
1575,1
1589,1
1823,1
1869,1
1972,1
2003,1
2071,1
2106,1
2118,1
2654,1
