influence,times
1,13489
2,7355
3,6236
4,6041
5,6124
6,6074
7,6089
8,5714
9,11530
10,5844
11,4133
12,3271
13,2640
14,2530
15,1662
16,1409
17,1146
18,1068
19,820
20,752
21,599
22,526
23,465
24,407
25,338
26,322
27,310
28,276
29,231
30,215
31,198
32,182
33,135
34,148
35,147
36,109
37,106
38,91
39,85
40,73
41,90
42,64
43,53
44,61
45,43
46,49
47,50
48,37
49,30
50,40
51,36
52,30
53,25
54,26
55,26
56,23
57,27
58,22
59,24
60,23
61,13
62,22
63,12
64,12
65,17
66,13
67,6
68,13
69,14
70,11
71,7
72,11
73,4
74,5
75,9
76,4
77,11
78,8
79,6
80,7
81,9
82,2
83,3
84,4
85,7
86,2
87,3
88,6
89,4
90,7
91,4
92,6
93,4
94,6
95,1
97,1
98,2
99,3
101,1
102,2
103,1
104,4
105,1
106,3
107,4
108,4
109,3
112,4
114,2
115,1
117,1
118,1
122,2
123,1
126,1
131,4
139,1
141,1
142,1
143,1
145,1
147,1
149,1
162,1
172,1
173,1
174,1
178,1
